gene
A1BG
A1CF
A2M-AS1
A4GNT
AACS
AADAC
AADACP1
AADAT
AAGAB
AAK1
AAMDC
AAMP
AAR2
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATBC
AATF
AATK
ABCA10
ABCA11P
ABCA12
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB10
ABCB11
ABCB4
ABCB8
ABCB9
ABCC10
ABCC11
ABCC12
ABCC13
ABCC2
ABCC3
ABCC4
ABCC6
ABCC6P1
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCF1
ABCF3
ABCG1
ABCG2
ABCG4
ABCG5
ABCG8
ABHD1
ABHD10
ABHD11
ABHD12
ABHD13
ABHD14A
ABHD15
ABHD15-AS1
ABHD16A
ABHD17A
ABHD17AP6
ABHD17B
ABHD17C
ABHD18
ABHD2
ABHD3
ABHD5
ABHD6
ABHD8
ABI2
ABI3
ABITRAM
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABRAXAS1
ABRAXAS2
ABT1
ABTB1
ABTB2
ABTB3
ACACB
ACAD10
ACAD11
ACAD8
ACAD9
ACADL
ACADS
ACAN
ACAP1
ACAP2
ACAP3
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACBD7
ACCS
ACD
ACE
ACE2
ACER2
ACER3
ACIN1
ACKR1
ACKR2
ACKR4
ACMSD
ACO1
ACOD1
ACOT1
ACOT11
ACOT12
ACOT13
ACOT2
ACOT4
ACOT6
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP2
ACP3
ACP4
ACP5
ACP6
ACP7
ACRBP
ACSBG1
ACSBG2
ACSF2
ACSF3
ACSL1
ACSL4
ACSL5
ACSL6
ACSL6-AS1
ACSM1
ACSM2A
ACSM2B
ACSM3
ACSM4
ACSM5
ACSM6
ACSS1
ACSS2
ACSS3
ACTA1
ACTBP8
ACTC1
ACTG1P16
ACTG2
ACTL6A
ACTL6B
ACTL9
ACTMAP
ACTN1
ACTN3
ACTN4
ACTR2P1
ACTR3-AS1
ACTR3B
ACTR3C
ACTR6
ACTR8
ACVR1C
ACY1
ACY3
ACYP2
ADA2
ADAD1
ADAM10
ADAM11
ADAM15
ADAM18
ADAM2
ADAM20
ADAM22
ADAM23
ADAM28
ADAM32
ADAM33
ADAM7-AS1
ADAM8
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS7P4
ADAMTS8
ADAMTS9
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAMTSL4
ADAMTSL4-AS1
ADAMTSL4-AS2
ADAMTSL5
ADAP1
ADAP2
ADARB1
ADARB2
ADAT1
ADAT2
ADCK1
ADCK2
ADCK5
ADCY1
ADCY10
ADCY10P1
ADCY2
ADCY3
ADCY5
ADCY7
ADCY8
ADCY9
ADCYAP1
ADD2
ADGRA1-AS1
ADGRA2
ADGRA3
ADGRB1
ADGRB2
ADGRB3
ADGRD1
ADGRD1-AS1
ADGRE2
ADGRE3
ADGRE5
ADGRF1
ADGRF5
ADGRF5P2
ADGRG1
ADGRG2
ADGRG3
ADGRG5
ADGRG6
ADGRL1
ADGRL1-AS1
ADGRL2
ADGRL3
ADGRL4
ADGRV1
ADH1B
ADH1C
ADH4
ADH5
ADH6
ADH7
ADHFE1
ADI1
ADIPOQ
ADIPOR1
ADISSP
ADK
ADM2
ADNP
ADNP2
ADO
ADORA1
ADORA2A
ADORA2A-AS1
ADORA3
ADPGK
ADPRH
ADPRS
ADRA1A
ADRA1B
ADRB2
ADRB3
ADSL
ADSS1
ADSS2
ADTRP
AEBP1
AEBP2
AFAP1
AFAP1L1
AFDN
AFF1
AFF2
AFF3
AFG2A
AFG2B
AFG3L1P
AFM
AFMID
AFP
AFTPH
AGA
AGA-DT
AGAP1
AGAP2
AGAP2-AS1
AGAP3
AGAP6
AGBL2
AGBL3
AGBL4
AGBL5
AGFG1
AGFG2
AGGF1
AGK
AGO1
AGO2
AGO3
AGPAT2
AGPAT3
AGPAT4
AGPAT5
AGPS
AGR2
AGR3
AGRP
AGT
AGTPBP1
AGTR1
AGTRAP
AGXT
AHCTF1
AHCYL1
AHCYL2
AHDC1
AHI1
AHI1-DT
AHNAK2
AHRR
AHSA1
AHSA2P
AHSP
AICDA
AIDA
AIF1
