set_id,family,subfamily,interpretation_layer,overlap_hvg,n_raw,n_present
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__gata2_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,77,105,105
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__irf1_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,161,255,245
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__irf1_q6,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,188,263,258
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__irf2_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,94,129,124
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__irf7_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,176,258,253
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__meis1ahoxa9_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,69,122,120
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__meis1bhoxa9_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,84,146,146
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__meis1_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,160,249,239
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__sgcgssaaa_e2f1dp2_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,147,170,162
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__smad3_q6,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,129,242,236
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__smad4_q6,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,169,245,241
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__stat1_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,55,69,67
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__stat1_02,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,209,263,258
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__stat1_03,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,184,254,250
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__tgacagny_meis1_01,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,572,850,830
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__ciita_target_genes,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,1071,1234,1111
atomic__regulon_ifn_nfkb_ap1_gata_m_f228d780__tf_targets__e2f2_target_genes,regulon_ifn_nfkb_ap1_gata_myc_e2f_p53_smad,tf_targets,tf_regulon,1208,1504,1324
atomic__senescence_sasp_control__senescence_sasp__fridman_senescence_dn,senescence_sasp_control,senescence_sasp,cell_state,9,13,12
atomic__senescence_sasp_control__senescence_sasp__fridman_senescence_up,senescence_sasp_control,senescence_sasp,cell_state,59,77,77
atomic__senescence_sasp_control__senescence_sasp__kamminga_senescence,senescence_sasp_control,senescence_sasp,cell_state,32,40,39
atomic__senescence_sasp_control__senescence_sasp__tang_senescence_tp53_targets_dn,senescence_sasp_control,senescence_sasp,cell_state,49,56,54
atomic__senescence_sasp_control__senescence_sasp__tang_senescence_tp53_targets_up,senescence_sasp_control,senescence_sasp,cell_state,21,33,33
atomic__senescence_sasp_control__senescence_sasp__reactome_cellular_senescence,senescence_sasp_control,senescence_sasp,cell_state,123,197,129
atomic__senescence_sasp_control__senescence_sasp__reactome_dna_damage_telomere_stress_induced_senescence,senescence_sasp_control,senescence_sasp,cell_state,27,79,28
atomic__senescence_sasp_control__senescence_sasp__reactome_formation_of_senescence_associated_heterochromatin_foci_sahf,senescence_sasp_control,senescence_sasp,cell_state,11,17,11
atomic__senescence_sasp_control__senescence_sasp__reactome_oncogene_induced_senescence,senescence_sasp_control,senescence_sasp,cell_state,32,35,33
atomic__senescence_sasp_control__senescence_sasp__reactome_oxidative_stress_induced_senescence,senescence_sasp_control,senescence_sasp,cell_state,62,125,64
atomic__senescence_sasp_control__senescence_sasp__reactome_senescence_associated_secretory_phenotype_sasp,senescence_sasp_control,senescence_sasp,cell_state,47,111,52
atomic__senescence_sasp_control__senescence_sasp__gobp_cellular_senescence,senescence_sasp_control,senescence_sasp,cell_state,82,109,99
atomic__senescence_sasp_control__senescence_sasp__gobp_negative_regulation_of_cellular_senescence,senescence_sasp_control,senescence_sasp,cell_state,18,26,23
atomic__senescence_sasp_control__senescence_sasp__gobp_positive_regulation_of_cellular_senescence,senescence_sasp_control,senescence_sasp,cell_state,11,19,13
atomic__senescence_sasp_control__senescence_sasp__gobp_regulation_of_cellular_senescence,senescence_sasp_control,senescence_sasp,cell_state,36,55,45
atomic__senescence_sasp_control__senescence_sasp__gobp_replicative_senescence,senescence_sasp_control,senescence_sasp,cell_state,15,17,16
family_union__senescence_sasp_control__all__selected_atomic_sets,senescence_sasp_control,all,family_union,340,487,404
family_union__senescence_sasp_control__senescence_sasp__selected_atomic_sets,senescence_sasp_control,senescence_sasp,family_union,340,487,404
core_anchor__tgfb_niche_quiescence__core_tgfb_smad_ecm__expert_curated,tgfb_niche_quiescence,core_tgfb_smad_ecm,core_anchor,30,70,69
family_union__tgfb_niche_quiescence__all__selected_atomic_sets,tgfb_niche_quiescence,all,family_union,321,527,512
family_union__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__selected_atomic_sets,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,family_union,321,527,512
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_cell_extracellular_matrix_interactions,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,14,18,18
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_degradation_of_the_extracellular_matrix,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,65,140,140
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_downregulation_of_tgf_beta_receptor_signaling,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,25,26,26
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_extracellular_matrix_organization,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,168,321,321
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_regulation_of_mitf_m_dependent_genes_involved_in_extracellular_e40e9e31,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,10,12,12
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_signaling_by_tgf_beta_receptor_complex,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,84,94,94
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_tgf_beta_receptor_signaling_activates_smads,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,41,47,47
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__reactome_tgf_beta_receptor_signaling_in_emt_epithelial_to_mesenchymal_transition,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,15,16,16
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_extracellular_matrix_assembly,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,24,54,45
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_extracellular_matrix_constituent_secretion,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,8,11,11
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_extracellular_matrix_disassembly,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,38,72,65
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_negative_regulation_of_extracellular_matrix_organization,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,11,27,15
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_positive_regulation_of_extracellular_matrix_disassembly,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,9,12,11
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_positive_regulation_of_extracellular_matrix_organization,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,23,30,28
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_regulation_of_extracellular_matrix_assembly,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,9,23,14
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_regulation_of_extracellular_matrix_disassembly,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,16,27,20
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__gobp_regulation_of_extracellular_matrix_organization,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,44,77,62
atomic__tgfb_niche_quiescence__tgfb_smad_ecm_quiescence__hallmark_tgf_beta_signaling,tgfb_niche_quiescence,tgfb_smad_ecm_quiescence,relay,49,54,54
core_anchor__tnf_nfkb_decomposed_surviva_97d4afeb__core_tnf_nfkb_survival__expert_curated,tnf_nfkb_decomposed_survival_adhesion,core_tnf_nfkb_survival,core_anchor,12,12,12
family_union__tnf_nfkb_decomposed_surviva_97d4afeb__all__selected_atomic_sets,tnf_nfkb_decomposed_survival_adhesion,all,family_union,2357,3958,3578
family_union__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__selected_atomic_sets,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,family_union,2357,3958,3578
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,146,166,160
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_apoptotic_cleavage_of_cell_adhesion_proteins,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,6,11,11
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_dectin_1_mediated_noncanonical_nf_kb_signaling,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,47,49,49
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_defective_intrinsic_pathway_for_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,23,25,25
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_dengue_virus_modulates_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,16,16,16
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_fceri_mediated_nf_kb_activation,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,69,123,123
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_intrinsic_pathway_for_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,51,55,55
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_nf_kb_activation_through_fadd_rip_1_pathway_mediated_by__e0fd6618b8,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,12,13,12
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_nf_kb_is_activated_and_signals_survival,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,12,13,13
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_p75ntr_signals_via_nf_kb,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,15,16,16
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_platelet_adhesion_to_exposed_collagen,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,10,16,16
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_pou5f1_oct4_sox2_nanog_activate_genes_related_to_proliferation,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,3,13,12
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_pou5f1_oct4_sox2_nanog_repress_genes_related_to_differentiation,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,2,10,10
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_regulation_of_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,40,40,40
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_regulation_of_homotypic_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,136,223,159
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_regulation_of_mitf_m_dependent_genes_involved_in_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,15,19,18
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_regulation_of_mitf_m_dependent_genes_involved_in_extrac__302167a225,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,10,12,12
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_rip_mediated_nfkb_activation_via_zbp1,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,15,17,17
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_sema3a_plexin_repulsion_signaling_by_inhibiting_integrin_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,13,14,14
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_synaptic_adhesion_like_molecules,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,13,21,21
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tnfr1_induced_nf_kappa_b_signaling_pathway,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,32,33,33
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tnfr1_induced_proapoptotic_signaling,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,24,25,25
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tnfr2_non_canonical_nf_kb_pathway,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,75,88,88
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tnfs_bind_their_physiological_receptors,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,16,29,29
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tnf_receptor_superfamily_tnfsf_members_mediating_non_ca__f1de344664,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,14,17,17
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tnf_signaling,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,56,57,57
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_tp53_regulates_transcription_of_several_additional_cell__9e5807cb55,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,11,14,14
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_traf6_mediated_nf_kb_activation,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,23,25,24
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__reactome_transport_of_vitamins_nucleosides_and_related_molecules,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,23,32,32
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gggnntttcc_nfkb_q6_01,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,89,134,132
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__nfkbia_target_genes,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,751,1348,1106
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__nfkb_c,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,175,268,262
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__nfkb_q6,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,181,258,254
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__nfkb_q6_01,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,159,237,234
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__nfkbia_target_genes,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,751,1348,1106
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_adhesion_of_symbiont_to_host,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,7,16,16
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_adhesion_of_symbiont_to_host_cell,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,5,11,11
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_calcium_dependent_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,12,48,48
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_calcium_independent_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,4,23,23
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_canonical_nf_kappab_signal_transduction,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,276,343,330
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cellular_component_disassembly_involved_in_execution_phase__5bbe15d512,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,22,31,31
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,941,1578,1538
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_adhesion_mediated_by_integrin,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,62,85,85
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_adhesion_molecule_production,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,9,22,10
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,608,1018,996
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_cell_adhesion_involved_in_gastrulation,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,8,11,10
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_cell_adhesion_mediated_by_cadherin,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,30,61,61
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_cell_adhesion_mediated_by_integrin,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,25,30,30
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_matrix_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,164,249,243
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_cell_substrate_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,249,377,368
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_epithelial_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,9,17,16
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_execution_phase_of_apoptosis,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,55,81,78
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_focal_adhesion_assembly,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,64,87,87
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_heterophilic_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,20,55,55
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_heterotypic_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,42,62,61
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_homophilic_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,46,178,177
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_homotypic_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,78,105,105
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_leukocyte_adhesion_to_vascular_endothelial_cell,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,40,61,51
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_leukocyte_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,335,453,433
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_canonical_nf_kappab_signal_transduction,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,73,97,84
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,216,331,308
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_cell_adhesion_mediated_by_integrin,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,10,15,15
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,153,226,213
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_cell_cell_adhesion_mediated_by_cadherin,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,9,11,11
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_cell_matrix_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,29,42,38
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_cell_substrate_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,43,68,62
atomic__tnf_nfkb_decomposed_surviva_97d4afeb__canonical_tnf_nfkb_survival__gobp_negative_regulation_of_homotypic_cell_cell_adhesion,tnf_nfkb_decomposed_survival_adhesion,canonical_tnf_nfkb_survival,relay,9,13,13
family_union__typei_ifn_inflammasome_nonc_3b419218__all__selected_atomic_sets,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,all,family_union,690,980,876
family_union__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__selected_atomic_sets,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,family_union,690,980,876
atomic__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__reactome_ddx58_ifih1_mediated_induction_of_interferon_alpha_beta,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,target_footprint,66,82,81
atomic__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__reactome_dectin_1_mediated_noncanonical_nf_kb_signaling,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,target_footprint,47,49,49
atomic__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__reactome_defective_pyroptosis,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,target_footprint,13,72,13
atomic__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__reactome_gene_and_protein_expression_by_jak_stat_signal__057f8e33c0,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,target_footprint,35,38,38
atomic__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__reactome_inflammasomes,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,target_footprint,18,21,21
atomic__typei_ifn_inflammasome_nonc_3b419218__typei_ifn_inflammasome_nonc_9fdd377b__reactome_interferon_alpha_beta_signaling,typeI_ifn_inflammasome_noncanonical_nfkb_contrast,typeI_ifn_inflammasome_noncanonical_nfkb,target_footprint,61,78,77
